                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.2965,                0.90731,                0.92106,                0.50699,                0.37498,                0.39276,                0.23539,                 1.2934,                0.93722,                0.92724,               0.002872,               0.002872,               0.002872
                     74,                 1.2886,                0.90614,                0.92118,                0.49834,                 0.3755,                0.39368,                0.23517,                 1.2913,                0.93654,                0.92696,               0.002773,               0.002773,               0.002773
                     75,                 1.2921,                0.90464,                0.92066,                0.50187,                0.37925,                0.39455,                0.23625,                 1.2933,                0.93781,                0.92776,               0.002674,               0.002674,               0.002674
                     76,                 1.2928,                0.90252,                0.92157,                0.50154,                0.38434,                0.39546,                0.23692,                  1.289,                 0.9362,                0.92607,               0.002575,               0.002575,               0.002575
                     77,                 1.2891,                0.90225,                 0.9201,                0.50629,                0.37842,                0.39391,                0.23536,                 1.2922,                0.93596,                0.92626,               0.002476,               0.002476,               0.002476
                     78,                 1.2875,                0.90017,                 0.9191,                0.51628,                0.37667,                0.39593,                0.23708,                 1.2903,                 0.9352,                0.92615,               0.002377,               0.002377,               0.002377
                     79,                 1.2921,                0.90099,                0.92189,                0.51329,                0.37759,                0.39488,                0.23744,                 1.2906,                0.93357,                0.92637,               0.002278,               0.002278,               0.002278
                     80,                 1.2838,                0.89163,                0.91865,                0.51784,                0.37973,                 0.3981,                0.23854,                 1.2906,                0.93244,                0.92629,               0.002179,               0.002179,               0.002179
                     81,                 1.2869,                0.89094,                0.91815,                 0.5039,                0.38211,                 0.3959,                0.23745,                 1.2899,                0.93188,                0.92593,                0.00208,                0.00208,                0.00208
                     82,                 1.2869,                0.89516,                0.91876,                0.50641,                0.38244,                0.39828,                0.23786,                 1.2909,                0.93219,                0.92638,               0.001981,               0.001981,               0.001981
                     83,                 1.2804,                0.88634,                0.91595,                0.50967,                0.38149,                0.39708,                0.23767,                 1.2893,                0.93094,                  0.926,               0.001882,               0.001882,               0.001882
                     84,                 1.2828,                0.88768,                0.91751,                0.51232,                0.38164,                 0.3995,                0.23926,                 1.2907,                0.93079,                0.92612,               0.001783,               0.001783,               0.001783
